,amon,brp,cac,Cadps,Fife,Liprin-alpha,Pdf,Rab27,Rab3,Rbp,RhoGAP100F,Rim,Snap25,Syb,Syt1,Syt12,Syt14,Syt4,Syt7,Sytalpha,Sytbeta,Syx13,Syx16,Syx17,Syx18,Syx4,Syx5,Syx6,Syx7,Syx8,unc-13,date,experiment,exp_time
20190228_CLK856_LD_ZT10_AR03_GATCAC,62,8,22,13,3,0,6,0,3,7,4,7,6,0,23,0,0,6,11,2,6,0,0,0,0,0,0,0,1,0,41,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GATCGA,8,2,2,3,2,0,6,1,5,5,1,14,3,0,18,0,0,9,5,1,5,0,0,0,0,0,0,1,0,0,30,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GATCTG,7,6,7,14,1,4,4,0,15,12,4,8,4,0,28,0,1,10,8,4,8,0,0,0,0,0,0,4,3,1,31,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTACAG,16,12,15,14,11,11,4,0,9,11,28,22,14,0,63,1,0,31,6,6,4,0,0,0,0,0,0,3,3,0,71,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTACCA,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTACTC,3,1,1,3,1,0,2,0,1,1,1,4,5,0,7,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,10,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTCTAG,2,3,3,1,1,0,3,0,1,2,0,4,1,0,22,0,0,4,2,1,4,0,0,0,0,0,0,1,0,0,15,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTCTCA,11,1,4,6,0,1,4,0,0,6,2,5,1,0,15,0,0,10,2,1,0,1,0,0,0,0,0,0,0,0,10,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTCTTC,2,0,0,0,0,0,7,0,2,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTGAAG,18,23,10,12,1,3,11,0,23,14,13,31,9,0,59,0,0,25,11,1,30,1,1,0,0,1,0,0,0,0,71,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTGACA,6,11,14,3,7,0,3,0,7,7,8,13,6,0,22,3,0,3,0,0,2,0,0,0,0,0,0,0,2,0,22,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTGATC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTTGAG,20,13,9,6,11,0,1,0,2,20,1,23,12,0,22,1,1,12,6,1,3,0,0,0,0,0,0,3,2,0,49,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTTGCA,3,4,5,1,4,4,0,0,8,5,1,12,2,0,15,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,12,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_GTTGTC,8,3,18,9,5,2,5,0,8,6,7,5,17,0,26,2,0,3,14,6,7,0,0,0,0,0,0,0,3,1,9,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCACAG,3,1,27,8,2,0,2,0,2,2,3,4,0,0,4,0,0,2,2,0,2,0,0,0,1,0,0,0,1,0,11,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCACCA,10,15,19,23,15,0,13,0,14,33,13,23,15,0,51,0,0,30,19,11,6,0,0,0,0,1,4,1,0,0,59,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCACTC,15,4,18,12,2,2,10,0,9,9,11,7,11,0,31,0,0,19,2,5,6,1,0,0,0,0,1,1,7,0,31,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCCTAG,1,1,2,5,9,0,0,0,8,2,2,7,5,0,16,0,0,7,2,0,1,0,0,0,0,0,0,0,3,0,19,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCCTCA,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCCTTC,6,28,37,61,60,0,11,0,22,25,8,27,48,1,155,2,0,24,29,0,7,0,0,0,0,0,0,1,4,0,93,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCGAAG,14,15,12,13,6,1,3,0,9,6,3,11,21,0,49,0,0,5,2,0,2,0,0,0,0,0,1,1,2,0,29,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCGACA,31,0,6,3,3,1,6,1,7,8,0,9,2,0,18,0,0,33,6,1,9,2,0,0,1,1,1,2,0,0,14,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCGATC,5,8,13,14,20,0,8,2,17,16,14,20,18,0,99,0,0,5,6,9,7,0,0,0,0,0,1,1,2,0,43,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCTGAG,3,0,4,1,0,1,3,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCTGCA,2,3,1,2,2,1,5,0,2,1,3,4,1,0,6,1,0,6,1,1,0,0,0,0,0,0,2,0,0,0,9,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TCTGTC,77,49,65,13,12,22,23,5,74,50,21,87,51,0,308,11,1,66,54,1,51,2,0,0,0,0,3,8,7,2,134,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_TGAGAC,11,14,5,5,2,0,6,0,16,6,8,13,10,0,29,0,0,21,8,5,14,0,0,0,1,0,1,4,0,0,51,2019-02-28,LD,ZT10
