,DIP-gamma,DIP-beta,DIP-delta,DIP-theta,Idents,date,experiment,exp_time
20190710_CLK856_DD_CT06_AR03_CATGCA,0,1,62,1,8:LN_ITP,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_CTAGAC,0,0,0,0,1:DN1p_CNMa,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_CTAGGA,0,0,1,2,6:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_GAAGAC,0,0,2,0,5:LNd_Trissin,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_GAGTAC,0,1,0,0,3:DN1a,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_GATCAC,0,1,2,4,18:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_GTACTC,0,0,0,0,29:LPN,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_GTCTCA,0,1,3,0,25:l_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_GTGACA,0,0,0,5,18:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_TCCTAG,0,0,0,4,18:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_TCCTCA,0,18,2,0,2:s_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_TCTGAG,0,0,0,0,29:LPN,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_TCTGTC,0,0,1,0,12:LNd,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_TGAGGA,0,1,5,0,12:LNd,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_TGGTGA,0,0,0,0,25:l_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_TGTCAC,0,0,0,0,12:LNd,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR03_TGTCTG,0,0,0,0,2:s_LNv,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_ACAGTG,0,1,0,4,18:DN1p,2019-07-10,DD,CT06
20190710_CLK856_DD_CT06_AR04_ACCAGA,1,0,17,2,9:LNd_NPF,2019-07-10,DD,CT06
